,TOT_REG_CD,ADM_NM,ADM_CD,211009_9시_총생활인구수,211009_13시_총생활인구수,211009_15시_총생활인구수,211012_9시_총생활인구수,211012_13시_총생활인구수,211012_15시_총생활인구수
201,1117055021001 ,구로4동,1117055,258.6866,169.9323,169.9323,165.8019,176.4937,210.7039
202,1117055021002 ,구로4동,1117055,126.9307,114.0042,114.0042,108.3982,102.2995,120.2772
203,1117055021003 ,구로4동,1117055,262.2021,165.3561,165.3561,166.442,179.0721,214.126
204,1117055021105 ,구로4동,1117055,366.0032,96.8443,96.8443,193.5755,164.4134,191.2818
205,1117055021102 ,구로4동,1117055,151.8318,35.547,35.547,86.7905,68.7509,75.4511
206,1117055021103 ,구로4동,1117055,367.0995,90.0384,90.0384,230.1687,171.1408,174.6693
207,1117055021101 ,구로4동,1117055,256.0143,113.3039,113.3039,171.0816,126.4167,128.8248
208,1117055021106 ,구로4동,1117055,287.7146,65.3249,65.3249,179.2823,133.3086,136.0441
209,1117055021107 ,구로4동,1117055,293.5164,82.5287,82.5287,188.4303,138.53,144.422
210,1117055021104 ,구로4동,1117055,118.4045,18.6313,18.6313,73.3512,52.5767,59.4081
211,1117056010004 ,구로5동,1117056,1116.744,1246.6228,1246.6228,1158.4489,1102.3047,1172.1904
212,1117056010001 ,구로5동,1117056,483.6448,674.9836,674.9836,448.2841,512.1404,500.8302
213,1117056010003 ,구로5동,1117056,1698.5335,3100.5328,3100.5328,3541.5021,3535.854,3436.5536
214,1117056010002 ,구로5동,1117056,2697.7316,6178.3115,6178.3115,3365.3663,3840.8087,3830.0459
215,1117056010101 ,구로5동,1117056,778.82,418.0447,418.0447,508.2927,336.3816,309.027
216,1117056010201 ,구로5동,1117056,248.9973,434.529,434.529,174.944,211.6663,197.6565
217,1117056010203 ,구로5동,1117056,181.8747,314.5279,314.5279,127.842,154.6184,144.4105
218,1117056010202 ,구로5동,1117056,380.3502,98.1069,98.1069,206.539,126.3107,135.9091
219,1117056010205 ,구로5동,1117056,537.7948,322.281,322.281,281.3022,315.0503,297.3151
220,1117056010204 ,구로5동,1117056,207.3559,40.3427,40.3427,108.5506,66.0278,71.1063
221,1117056010207 ,구로5동,1117056,248.2128,335.8642,335.8642,167.1399,202.9679,189.7087
222,1117056010206 ,구로5동,1117056,225.3911,151.6713,151.6713,146.2179,118.5624,110.9426
223,1117056010401 ,구로5동,1117056,1152.9076,558.2409,558.2409,734.3556,456.0085,436.0797
224,1117056010501 ,구로5동,1117056,561.6487,416.0688,416.0688,439.6422,238.3788,236.8245
225,1117056010502 ,구로5동,1117056,14.5123,16.9812,16.9812,13.1372,9.413,9.3564
226,1117056010801 ,구로5동,1117056,752.9516,68.3583,68.3583,358.9522,258.9863,237.2873
227,1117056020010 ,구로5동,1117056,3349.5823,4246.6716,4246.6716,3539.0876,3780.3332,3869.6975
228,1117056020008 ,구로5동,1117056,112.9448,157.1337,157.1337,94.8303,112.914,105.5396
229,1117056020009 ,구로5동,1117056,581.5122,592.2009,592.2009,548.7535,497.4234,549.8477
230,1117056020011 ,구로5동,1117056,2340.8836,3712.6496,3712.6496,3188.7297,3633.8991,3676.9018
231,1117056020006 ,구로5동,1117056,169.0185,106.8043,106.8043,125.7168,97.5097,104.28
232,1117056020007 ,구로5동,1117056,328.3735,256.9881,256.9881,252.1798,212.0008,232.0977
233,1117056020004 ,구로5동,1117056,347.4264,264.4442,264.4442,263.1923,203.8628,239.7716
234,1117056020005 ,구로5동,1117056,602.8862,604.4903,604.4903,700.6255,669.3277,750.6937
235,1117056020002 ,구로5동,1117056,256.4801,194.9491,194.9491,169.0673,121.0255,151.8665
236,1117056020003 ,구로5동,1117056,507.7303,384.5158,384.5158,428.5652,356.5253,396.0885
237,1117056020001 ,구로5동,1117056,30.9102,50.0221,50.0221,136.4637,148.5679,138.5374
238,1117056020101 ,구로5동,1117056,10.9019,0.5752,0.5752,4.0796,2.4052,2.191
239,1117056020301 ,구로5동,1117056,467.6679,304.4317,304.4317,334.5114,336.6321,369.3433
240,1117056020401 ,구로5동,1117056,398.9179,96.2257,96.2257,238.4182,186.6086,178.3975
241,1117056020601 ,구로5동,1117056,554.9963,544.5287,544.5287,351.6269,368.7531,363.8911
242,1117056020704 ,구로5동,1117056,174.382,102.0829,102.0829,139.2132,113.0126,162.3493
243,1117056020702 ,구로5동,1117056,436.5693,224.4234,224.4234,289.3111,223.5763,302.2126
244,1117056020703 ,구로5동,1117056,315.5784,140.0489,140.0489,211.8301,153.9088,178.911
245,1117056020701 ,구로5동,1117056,14.9356,15.363,15.363,13.083,9.9655,11.9723
246,1117056020801 ,구로5동,1117056,155.0579,34.9545,34.9545,104.0673,81.841,93.3949
247,1117056020902 ,구로5동,1117056,218.841,70.2887,70.2887,151.8456,121.5118,138.7322
248,1117056020903 ,구로5동,1117056,3.0576,4.1304,4.1304,2.1169,1.4428,1.544
249,1117056020901 ,구로5동,1117056,6.5213,10.007,10.007,6.1433,4.4873,5.0604
250,1117056021401 ,구로5동,1117056,,,,,,
251,1117056030009 ,구로5동,1117056,373.9872,984.7667,984.7667,885.9308,1198.7891,1209.2448
252,1117056030008 ,구로5동,1117056,70.7335,150.6407,150.6407,100.3961,104.8243,106.2399
253,1117056030007 ,구로5동,1117056,209.7044,217.6375,217.6375,242.3999,228.2152,245.0591
254,1117056030006 ,구로5동,1117056,1085.0954,971.4928,971.4928,1192.7216,1232.562,1094.0371
255,1117056030005 ,구로5동,1117056,653.693,812.0264,812.0264,1086.9486,1127.1873,1040.4396
256,1117056030004 ,구로5동,1117056,375.0083,297.9173,297.9173,347.4505,341.228,328.7699
257,1117056030003 ,구로5동,1117056,118.2676,75.1869,75.1869,121.7345,113.2618,103.4761
258,1117056030002 ,구로5동,1117056,429.0183,740.0214,740.0214,601.4124,638.7111,623.1881
259,1117056030001 ,구로5동,1117056,,,,0.0013,,0.0008
260,1117056030102 ,구로5동,1117056,93.206,60.3389,60.3389,118.2049,118.3355,139.3407
